                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.86114,                0.41052,                0.83444,                0.98676,                0.99014,                0.99464,                0.79594,                0.75885,                0.37479,                0.82118,              0.0012179,              0.0012179,              0.0012179
                     82,                0.84324,                0.40551,                0.83379,                0.99064,                0.97938,                 0.9936,                0.78926,                0.75933,                0.37085,                0.82031,               0.001208,               0.001208,               0.001208
                     83,                0.85711,                0.40472,                0.83299,                0.99063,                0.97983,                0.99386,                0.77209,                 0.8161,                0.38367,                0.82547,              0.0011981,              0.0011981,              0.0011981
                     84,                0.85041,                0.40602,                0.83041,                0.99078,                0.97714,                0.99405,                0.78214,                0.79399,                0.38442,                0.82473,              0.0011882,              0.0011882,              0.0011882
                     85,                0.85403,                0.40377,                0.83261,                 0.9887,                0.98033,                0.99357,                0.79963,                0.73407,                0.36581,                  0.819,              0.0011783,              0.0011783,              0.0011783
                     86,                0.81522,                0.39382,                0.82465,                0.99363,                0.97828,                0.99417,                0.78853,                0.78257,                0.37156,                0.82192,              0.0011684,              0.0011684,              0.0011684
                     87,                0.83058,                0.39361,                0.82607,                0.99353,                0.97804,                0.99416,                0.81009,                0.73153,                0.35831,                0.81815,              0.0011585,              0.0011585,              0.0011585
                     88,                0.82654,                0.39609,                0.83036,                0.99186,                0.98306,                0.99454,                0.79841,                0.74877,                0.37162,                0.81776,              0.0011486,              0.0011486,              0.0011486
                     89,                0.85246,                0.40475,                0.83242,                0.99159,                0.97759,                0.99261,                0.79613,                0.75172,                0.36838,                0.81729,              0.0011387,              0.0011387,              0.0011387
                     90,                0.80604,                0.38949,                0.82393,                0.99365,                 0.9821,                  0.994,                0.79837,                0.73808,                0.36546,                0.81716,              0.0011288,              0.0011288,              0.0011288
                     91,                0.84225,                0.39977,                0.82929,                0.98995,                0.97624,                0.99259,                0.79767,                0.74157,                0.36459,                0.82012,              0.0011189,              0.0011189,              0.0011189
                     92,                0.80689,                0.38881,                 0.8276,                0.98966,                0.98678,                 0.9945,                0.80317,                0.74277,                0.36419,                 0.8179,               0.001109,               0.001109,               0.001109
                     93,                0.80168,                0.38817,                0.82354,                 0.9923,                0.98168,                0.99426,                0.81493,                0.71033,                0.35379,                0.81402,              0.0010991,              0.0010991,              0.0010991
                     94,                0.79409,                0.38645,                 0.8255,                 0.9905,                  0.981,                0.99349,                0.80761,                0.71363,                  0.352,                0.81469,              0.0010892,              0.0010892,              0.0010892
                     95,                0.81174,                0.38805,                0.82445,                0.99156,                0.98297,                0.99426,                0.81616,                0.68652,                0.34601,                0.81341,              0.0010793,              0.0010793,              0.0010793
                     96,                 0.7768,                0.37863,                0.82365,                0.99442,                0.97893,                 0.9941,                  0.811,                0.70094,                0.34811,                0.81535,              0.0010694,              0.0010694,              0.0010694
                     97,                0.79204,                  0.382,                0.82601,                0.99513,                0.98028,                0.99425,                0.82204,                0.69433,                0.34382,                0.81385,              0.0010595,              0.0010595,              0.0010595
                     98,                0.77842,                0.37721,                0.82603,                0.99532,                0.97804,                0.99441,                0.81424,                0.69685,                0.34545,                0.81487,              0.0010496,              0.0010496,              0.0010496
                     99,                0.80539,                0.38675,                0.82672,                 0.9925,                0.97938,                0.99403,                  0.809,                0.71069,                0.35186,                0.81348,              0.0010397,              0.0010397,              0.0010397
                    100,                0.78786,                0.38434,                0.82267,                0.98829,                0.98315,                0.99379,                0.81877,                0.67781,                0.34504,                0.81317,              0.0010298,              0.0010298,              0.0010298
                    101,                0.78224,                0.38137,                0.82376,                0.99067,                0.98028,                0.99337,                0.81327,                 0.7036,                0.34845,                0.81582,              0.0010199,              0.0010199,              0.0010199
                    102,                0.77352,                0.37696,                0.82043,                0.99449,                0.98162,                0.99443,                0.82256,                0.67704,                0.34107,                 0.8121,                0.00101,                0.00101,                0.00101
                    103,                0.75778,                0.37028,                 0.8197,                0.99681,                 0.9797,                 0.9947,                0.82724,                0.67217,                0.34707,                0.80927,              0.0010001,              0.0010001,              0.0010001
                    104,                0.75438,                0.36816,                0.82132,                0.99097,                0.98327,                0.99429,                0.82136,                0.67363,                0.34105,                0.81135,              0.0009902,              0.0009902,              0.0009902
                    105,                0.77983,                0.37756,                0.81982,                0.99129,                0.98342,                0.99431,                0.82051,                 0.6906,                0.34359,                0.81204,              0.0009803,              0.0009803,              0.0009803
                    106,                0.76898,                0.37384,                0.82056,                0.99365,                0.98247,                0.99459,                0.82577,                 0.6671,                0.33698,                0.80936,              0.0009704,              0.0009704,              0.0009704
                    107,                0.75438,                0.36724,                0.82278,                0.99444,                0.97804,                0.99388,                 0.8244,                0.66277,                0.33078,                 0.8115,              0.0009605,              0.0009605,              0.0009605
                    108,                0.74751,                0.36531,                0.81732,                0.99347,                0.97759,                0.99421,                0.83286,                0.65852,                 0.3335,                0.81104,              0.0009506,              0.0009506,              0.0009506
                    109,                0.75486,                0.36932,                0.82225,                0.99319,                0.97987,                0.99435,                0.82266,                0.65603,                0.32902,                0.80934,              0.0009407,              0.0009407,              0.0009407
                    110,                 0.7344,                0.36437,                0.81472,                0.99319,                0.98128,                0.99444,                0.83293,                0.64961,                0.33194,                0.81095,              0.0009308,              0.0009308,              0.0009308
                    111,                0.76497,                0.37404,                0.82047,                0.99292,                0.97938,                  0.994,                0.83181,                0.65104,                0.33347,                0.80884,              0.0009209,              0.0009209,              0.0009209
                    112,                0.73972,                0.36286,                0.81872,                0.99721,                0.97848,                0.99454,                0.81289,                0.68106,                0.33599,                0.81245,               0.000911,               0.000911,               0.000911
                    113,                0.73805,                0.36173,                0.81969,                0.99201,                0.98386,                0.99466,                0.83749,                0.63826,                0.32577,                0.80876,              0.0009011,              0.0009011,              0.0009011
                    114,                0.73584,                0.36145,                0.81812,                0.99228,                0.97946,                  0.994,                0.82613,                0.66974,                0.33676,                0.81324,              0.0008912,              0.0008912,              0.0008912
                    115,                 0.7403,                0.36547,                0.82001,                0.99639,                0.97983,                0.99439,                0.83454,                0.65137,                0.33086,                0.81089,              0.0008813,              0.0008813,              0.0008813
                    116,                0.75743,                0.36737,                0.81778,                 0.9893,                0.98117,                0.99415,                0.82841,                0.65225,                0.33235,                0.80925,              0.0008714,              0.0008714,              0.0008714
